20230601091340.6+0i,0+0i,9.8690119+0i,2.0926954+0i,2.038644+0i,2.1075994+0i,0.000235705+0i,-0.00027712+0i,-5.1905e-05+0i,0.00021527+0i,1.2817482+0i,0.000304438+0i,9.9e+37+0i,841.272+0i,369.605+0i,394.657+0i,132.528+0i,0+0i,NaN+0i,21.1397070704161+0i,41.8058875400438+0i,1327.32081728046+0i,206.638112232504+0i,25.634964+0i,9.9e+37+0i,841.272+0i,132.528+0i,394.657+0i,132.528+0i,-0.0684014894539586+0i
20230601091341.8+0i,1.28599181771278+0i,9.8685181+0i,2.6616021+0i,2.037755+0i,2.1076433+0i,0.087331405+0i,-0.00111049+0i,0.078868954+0i,0.017711426+0i,1.2817482+0i,0.014713918+0i,490.876+0i,-9.9e+37+0i,-9.9e+37+0i,142.928+0i,985.854+0i,1.28599181771278+0i,NaN+0i,21.1383365547263+0i,40.6789635737578+0i,1327.8761627432+0i,263.528089490077+0i,25.634964+0i,490.876+0i,-9.9e+37+0i,985.854+0i,142.928+0i,985.854+0i,0-7.03632179452776e-20i
20230601091343.1+0i,2.49999649822712+0i,9.8682108+0i,2.0647204+0i,2.0377111+0i,2.1084993+0i,0.028452354+0i,-0.000455565+0i,-0.05648047+0i,0.019770049+0i,1.2817482+0i,-0.000679359+0i,-9.9e+37+0i,866.516+0i,741.237+0i,-9.9e+37+0i,-9.9e+37+0i,2.49999649822712+0i,NaN+0i,21.1374836598875+0i,40.6233145724977+0i,1338.70476675456+0i,203.840646296911+0i,25.634964+0i,-9.9e+37+0i,866.516+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,0.196370218453223+0i
20230601091344.1+0i,3.5079974681139+0i,9.8679913+0i,2.7373622+0i,2.0377331+0i,2.1084664+0i,0.00405574+0i,0.020843563+0i,-0.025691934+0i,-0.046008955+0i,1.2817262+0i,-0.00994867+0i,-9.9e+37+0i,400.063+0i,165.248+0i,383.741+0i,245.702+0i,3.5079974681139+0i,NaN+0i,21.1368744492882+0i,40.6512024546778+0i,1338.28857391347+0i,271.104007239036+0i,25.634524+0i,-9.9e+37+0i,400.063+0i,245.702+0i,383.741+0i,245.702+0i,0.763928087343013+0i
20230601091345+0i,4.4179905205965+0i,9.8672998+0i,1.882855+0i,2.0377221+0i,2.1084444+0i,0.88926132+0i,-0.093217553+0i,0.034269367+0i,-0.045164265+0i,1.2817372+0i,-0.010121542+0i,-9.9e+37+0i,1145.457+0i,-9.9e+37+0i,755.422+0i,626.282+0i,4.4179905205965+0i,NaN+0i,21.1349552277422+0i,40.6372585135873+0i,1338.01026867018+0i,185.654327749529+0i,25.634744+0i,-9.9e+37+0i,1145.457+0i,626.282+0i,755.422+0i,626.282+0i,0.918355748818385+0i
20230601091346+0i,5.43399788439274+0i,9.8671462+0i,1.7571483+0i,2.037755+0i,2.1084554+0i,0.5097275+0i,-0.00109517+0i,0.044918508+0i,0.017173469+0i,1.2817372+0i,0.019994939+0i,-9.9e+37+0i,1052.501+0i,-9.9e+37+0i,-9.9e+37+0i,857.171+0i,5.43399788439274+0i,NaN+0i,21.1345289190951+0i,40.6789635737578+0i,1338.14942129182+0i,173.083810819206+0i,25.634744+0i,-9.9e+37+0i,1052.501+0i,857.171+0i,-9.9e+37+0i,857.171+0i,1.03839705145063+0i
20230601091347+0i,6.42599612474442+0i,9.8666084+0i,2.9191724+0i,2.037755+0i,2.1084444+0i,-0.27895646+0i,-0.000455893+0i,0.001782155+0i,0.040586206+0i,1.2819786+0i,0.016593439+0i,-9.9e+37+0i,-9.9e+37+0i,343.758+0i,-9.9e+37+0i,410.059+0i,6.42599612474442+0i,NaN+0i,21.1330362837409+0i,40.6789635737578+0i,1338.01026867018+0i,289.284805853633+0i,25.639572+0i,-9.9e+37+0i,-9.9e+37+0i,410.059+0i,-9.9e+37+0i,410.059+0i,0+7.13570657021584e-18i
20230601091347.9+0i,7.38299153745174+0i,9.8666852+0i,2.3717985+0i,2.0376892+0i,2.1084773+0i,0.7774213+0i,-0.00176584+0i,-0.012807945+0i,0.015286515+0i,1.2819567+0i,0.004822717+0i,-9.9e+37+0i,-9.9e+37+0i,523.513+0i,272.396+0i,-9.9e+37+0i,7.38299153745174+0i,NaN+0i,21.1332494380644+0i,40.5955534534178+0i,1338.42646151127+0i,234.548082376146+0i,25.639134+0i,-9.9e+37+0i,-9.9e+37+0i,-9.9e+37+0i,272.396+0i,-9.9e+37+0i,0+6.00825868939653e-18i
20230601091348.9+0i,8.32500010728836+0i,9.866345+0i,2.3087917+0i,2.037755+0i,2.1084334+0i,0.007013+0i,0.10454448+0i,0.033640494+0i,0.001773085+0i,1.2819677+0i,-0.003678615+0i,-9.9e+37+0i,344.743+0i,174.126+0i,424.627+0i,-9.9e+37+0i,8.32500010728836+0i,NaN+0i,21.1323052310218+0i,40.6789635737578+0i,1337.87111604854+0i,228.247479097837+0i,25.639354+0i,-9.9e+37+0i,344.743+0i,-9.9e+37+0i,424.627+0i,-9.9e+37+0i,2.84247463775791+0i
20230601091349.9+0i,9.35999751091003+0i,9.8658951+0i,2.3559398+0i,2.0377111+0i,2.1084664+0i,0.000207075+0i,-0.6675164+0i,0.003031928+0i,-0.045026251+0i,1.2814628+0i,-0.008825549+0i,-9.9e+37+0i,1117.799+0i,141.145+0i,897.108+0i,327.598+0i,9.35999751091003+0i,NaN+0i,21.1310565574519+0i,40.6233145724977+0i,1338.28857391347+0i,232.96223168686+0i,25.629256+0i,-9.9e+37+0i,1117.799+0i,327.598+0i,897.108+0i,327.598+0i,2.46292673536375+0i
20230601091351+0i,10.4770001024008+0i,9.8657195+0i,0.000929815+0i,2.0375904+0i,2.1083786+0i,0.00294525+0i,-0.83372859+0i,0.037309387+0i,-0.035949178+0i,1.2814409+0i,0.003972452+0i,-9.9e+37+0i,847.068+0i,-9.9e+37+0i,696.245+0i,1146.595+0i,10.4770001024008+0i,NaN+0i,21.1305691889726+0i,40.4703115098082+0i,1337.177882988+0i,-2.53589918066019+0i,25.628818+0i,-9.9e+37+0i,847.068+0i,1146.595+0i,696.245+0i,1146.595+0i,0+0.290569530312317i
